,Test Date,County,New Positives,Cumulative Number of Positives,Total Number of Tests Performed,Cumulative Number of Tests Performed,Positive Rate,7-day Average Positives,7-day Average Test Rate,14-day Average Positives,14-day Average Test Rate
219,2020-10-06,Albany,15,3233,1328,146348,0.011295180722891566,16.0,0.012957466482941679,8.0,0.006478733241470839
220,2020-10-07,Albany,18,3251,2089,148437,0.00861656294877932,16.0,0.012946998393882652,8.0,0.006473499196941326
221,2020-10-08,Albany,17,3268,2240,150677,0.007589285714285714,16.0,0.011903748815570313,8.0,0.0059518744077851566
222,2020-10-09,Albany,12,3280,2225,152902,0.005393258426966292,15.0,0.010911535032642736,7.0,0.005455767516321368
223,2020-10-10,Albany,13,3293,1823,154725,0.007131102578167855,14.0,0.009893327524798167,7.0,0.0049466637623990835
224,2020-10-11,Albany,11,3304,819,155544,0.013431013431013432,14.0,0.009925574855965066,7.0,0.004962787427982533
225,2020-10-12,Albany,20,3324,1393,156937,0.014357501794687724,15.0,0.009687700802398844,7.0,0.004843850401199422
226,2020-10-13,Albany,19,3343,1278,158215,0.01486697965571205,15.0,0.010197957792801767,7.0,0.005098978896400884
227,2020-10-14,Albany,26,3369,1823,160038,0.01426220515633571,16.0,0.011004478108166968,8.0,0.005502239054083484
228,2020-10-15,Albany,14,3383,3007,163045,0.004655803126039242,16.0,0.0105854091669889,8.0,0.00529270458349445
229,2020-10-16,Albany,15,3398,1318,164363,0.011380880121396054,16.0,0.011440783694764584,8.0,0.005720391847382292
230,2020-10-17,Albany,18,3416,1354,165717,0.013293943870014771,17.0,0.012321189593599855,8.0,0.006160594796799927
231,2020-10-18,Albany,11,3427,769,166486,0.014304291287386216,17.0,0.01244594357308168,8.0,0.00622297178654084
232,2020-10-19,Albany,9,3436,997,167483,0.009027081243731194,16.0,0.011684454922945033,8.0,0.005842227461472517
233,2020-10-20,Albany,24,3460,1466,168949,0.01637107776261937,16.0,0.011899326081074652,8.0,0.005949663040537326
234,2020-10-21,Albany,28,3488,1454,170403,0.01925722145804677,17.0,0.012612899838461946,8.0,0.006306449919230973
235,2020-10-22,Albany,28,3516,1856,172259,0.015086206896551725,19.0,0.01410295751996373,9.0,0.007051478759981865
236,2020-10-23,Albany,33,3549,2694,174953,0.012249443207126948,21.0,0.014227037960782426,10.0,0.007113518980391213
237,2020-10-24,Albany,28,3577,1148,176101,0.024390243902439025,23.0,0.01581222367970018,11.0,0.00790611183985009
